employee_id,base_salary,bonus,salary_band,compa_ratio,last_comp_review_date
1,151606,4720.35,Band C,1.16,2024-10-22
2,160158,5235.41,Band B,0.8,2025-04-24
3,192426,21016.72,Band D,0.83,2024-10-26
4,68030,9032.21,Band B,0.76,2026-05-25
5,194734,23275.93,Band D,1.0,2025-05-29
6,156675,25095.71,Band E,1.12,2025-11-13
7,181764,11400.58,Band D,1.21,2026-03-15
8,122579,17227.12,Band D,1.19,2024-07-04
9,204901,10565.56,Band C,1.2,2024-07-07
10,62313,11004.72,Band A,0.83,2024-09-13
11,129190,24083.78,Band E,1.23,2026-03-17
12,83276,9995.2,Band D,0.77,2026-02-27
13,172319,9885.08,Band B,1.03,2024-07-15
14,86475,13532.53,Band C,0.85,2024-12-13
15,99147,16171.13,Band E,0.91,2025-12-12
16,116929,15883.45,Band C,1.05,2026-05-08
17,86397,14443.32,Band D,1.04,2025-10-06
18,180635,15141.37,Band C,1.16,2025-07-30
19,179485,31911.72,Band A,1.16,2024-11-08
20,69427,8940.4,Band B,1.2,2025-01-27
21,135954,25974.64,Band A,0.95,2025-12-08
22,178530,10097.55,Band A,1.25,2025-10-18
23,82381,7743.95,Band E,0.78,2025-09-19
24,74708,3320.23,Band E,1.02,2024-11-17
25,101279,13015.95,Band C,1.02,2026-03-14
26,105550,6301.09,Band C,0.83,2026-04-24
27,120729,21182.96,Band D,0.93,2025-10-27
28,194913,9673.97,Band E,0.77,2025-05-18
29,118760,21424.78,Band C,1.07,2024-06-09
30,183033,6237.3,Band C,0.77,2025-03-29
31,92164,14130.47,Band B,1.18,2025-06-08
32,183367,25796.45,Band C,1.14,2024-07-15
33,163341,8845.68,Band E,1.23,2026-01-21
34,114029,16163.24,Band D,1.23,2025-10-11
35,118729,15324.35,Band A,0.94,2026-03-22
36,103358,6728.53,Band E,1.14,2025-02-18
37,86493,17065.82,Band B,0.79,2025-11-03
38,57266,3898.12,Band C,0.86,2025-08-22
39,171515,15302.83,Band D,1.21,2025-12-04
40,91003,10399.61,Band B,1.12,2026-03-14
41,110324,4476.34,Band C,1.08,2026-05-22
42,116318,15300.92,Band A,0.85,2025-12-30
43,172150,12734.46,Band E,0.99,2024-09-05
44,75411,3978.34,Band C,1.24,2024-09-23
45,206314,6350.17,Band C,0.96,2026-03-15
46,188328,27160.35,Band D,1.23,2024-12-16
47,67331,11385.3,Band D,0.8,2026-01-06
48,152275,21444.7,Band C,0.78,2024-08-22
49,90719,17539.11,Band E,0.78,2024-09-22
50,181521,28473.23,Band B,0.93,2024-09-12
51,158073,9991.47,Band A,1.0,2025-11-09
52,69113,6723.71,Band B,0.98,2024-08-11
53,153481,23579.98,Band E,0.86,2025-11-12
54,156228,9473.89,Band E,0.83,2026-02-10
55,56453,7870.81,Band A,0.85,2024-10-11
56,94241,4679.33,Band C,0.86,2026-05-03
57,62555,3102.29,Band E,1.19,2026-03-27
58,147557,21214.42,Band B,1.02,2024-12-04
59,104750,4176.7,Band E,0.91,2025-08-30
60,71568,3079.98,Band D,1.18,2024-07-06
61,89697,15653.24,Band D,0.96,2024-12-28
62,190132,7392.91,Band B,0.98,2025-09-04
63,117797,4164.89,Band C,0.79,2025-07-05
64,139222,25464.69,Band B,0.88,2026-03-02
65,135727,26573.69,Band B,0.84,2024-07-14
66,185160,35480.57,Band B,0.79,2025-04-13
67,73217,8433.77,Band A,1.04,2025-07-28
68,179915,34401.46,Band B,1.13,2026-01-01
69,96242,5133.48,Band E,0.94,2025-01-16
70,94389,13021.52,Band A,0.78,2025-06-22
71,80378,8645.58,Band D,1.13,2025-11-02
72,89499,11001.26,Band B,1.24,2024-08-08
73,83999,5215.69,Band D,1.24,2025-03-19
74,88787,5110.58,Band C,1.21,2026-05-13
75,170288,22422.09,Band E,1.07,2025-01-11
76,170624,31232.59,Band D,0.87,2025-05-08
77,203036,29297.39,Band E,0.75,2025-11-01
78,185662,36548.01,Band B,1.22,2026-04-24
79,104232,12417.24,Band B,1.1,2025-06-29
80,105161,18180.04,Band D,0.92,2025-11-23
81,153949,9697.62,Band C,1.14,2025-03-14
82,202838,27291.8,Band B,1.1,2024-06-20
83,129839,20182.42,Band A,0.82,2026-02-19
84,89051,3742.61,Band B,0.99,2025-03-03
85,60680,10723.7,Band A,1.01,2025-12-24
86,101870,15733.56,Band D,0.9,2024-07-10
87,142803,22414.86,Band B,0.75,2025-03-15
88,122434,15076.3,Band E,1.03,2025-11-20
89,118616,11406.78,Band B,0.88,2025-07-06
90,188640,7711.14,Band E,1.12,2024-12-10
91,95227,10834.8,Band C,0.86,2024-11-14
92,177562,34232.32,Band A,1.13,2026-02-10
93,98850,6975.54,Band A,0.98,2025-01-22
94,116553,14708.13,Band B,0.85,2025-05-18
95,184028,21041.58,Band C,1.18,2024-12-14
96,87460,11026.15,Band A,1.03,2025-02-02
97,188831,9784.66,Band D,0.79,2026-01-24
98,134374,18766.64,Band C,0.88,2026-03-09
99,105001,7995.41,Band A,0.81,2025-10-10
100,97987,11064.75,Band A,1.01,2025-04-07
101,140053,20015.69,Band E,0.84,2025-04-02
102,144138,23986.34,Band E,0.86,2025-02-19
103,93791,12900.64,Band C,0.85,2024-07-09
104,160794,14128.71,Band B,1.18,2026-04-03
105,128488,20803.8,Band E,0.88,2026-02-12
106,69870,9053.42,Band C,0.93,2025-10-25
107,114665,18749.52,Band B,0.79,2024-11-01
108,113543,7459.07,Band A,0.88,2025-09-07
109,112793,17365.99,Band B,1.12,2026-05-10
110,129003,12531.71,Band D,1.25,2025-07-09
111,181712,30964.71,Band B,0.97,2024-06-06
112,63367,8590.58,Band E,0.97,2025-09-18
113,129807,13249.97,Band B,0.9,2025-09-15
114,132059,9031.81,Band B,1.11,2025-02-10
