employee_id,hashed_employee_id,department,job_level,job_family,location,hire_date,termination_date,employment_status,manager_id,salary_band,performance_rating,engagement_score,promotion_count,last_promotion_date
1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Finance,L1,Finance,London,2023-12-29,,Active,615,Band B,2,9.4,0,2025-09-05
2,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,People,L1,Operations,London,2023-03-29,2025-02-16,Terminated,161,Band D,3,8.3,0,
3,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,Operations,L1,Operations,New York,2022-05-17,,Active,783,Band C,3,7.2,2,2022-11-16
4,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,Product,L6,Operations,Dublin,2026-01-29,,Active,242,Band B,3,7.7,0,2026-06-02
5,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,Operations,L3,Customer Success,Remote Canada,2022-05-18,,Active,206,Band A,3,5.4,0,2022-12-06
6,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,Operations,L5,Operations,Ottawa,2023-09-17,,Active,202,Band D,3,8.7,2,
7,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,Engineering,L6,Finance,London,2023-08-10,,Active,338,Band E,3,7.3,0,
8,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,Engineering,L6,Data,New York,2024-06-27,,Active,648,Band C,3,7.8,1,2024-12-03
9,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,Product,L2,Data,New York,2026-01-06,,Active,135,Band A,3,6.5,0,
10,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,Support,L2,Product,Toronto,2023-09-19,,Active,739,Band E,5,6.9,1,2025-04-10
11,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,People,L3,Data,Ottawa,2020-08-05,,Active,554,Band D,2,7.3,0,2021-04-14
12,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,Operations,L3,Customer Success,Remote Canada,2023-12-28,2024-10-20,Terminated,541,Band D,5,6.8,1,2025-08-16
13,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,Product,L4,Data,London,2022-10-26,2025-08-02,Terminated,646,Band D,4,9.1,2,
14,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,Engineering,L3,Data,New York,2025-11-15,,Active,745,Band C,1,7.4,0,
