employee_id,review_cycle,performance_rating,potential_rating,review_submitted_date,promotion_recommendation
1,2024-H1,4,High,2025-02-13,No
1,2024-H2,3,Medium,2025-05-31,No
1,2025-H1,3,High,2024-12-24,No
1,2025-H2,4,Low,2024-12-31,No
2,2024-H1,5,Medium,2025-06-30,No
2,2024-H2,4,Medium,2025-09-25,No
2,2025-H1,1,Low,2026-03-14,No
2,2025-H2,3,High,2025-08-27,No
3,2024-H1,3,Medium,2025-12-08,No
3,2024-H2,4,Medium,2025-12-24,No
3,2025-H1,4,Medium,2024-07-11,Yes
3,2025-H2,3,Low,2024-12-18,No
4,2024-H1,4,Medium,2024-07-14,Yes
4,2024-H2,4,Medium,2026-02-04,No
4,2025-H1,3,High,2025-10-22,No
4,2025-H2,3,Medium,2024-06-15,No
5,2024-H1,3,Low,2024-11-22,Yes
5,2024-H2,2,Medium,2025-09-08,No
5,2025-H1,3,Medium,2025-12-12,No
5,2025-H2,4,Low,2025-08-22,Yes
6,2024-H1,2,Medium,2025-03-17,No
6,2024-H2,4,Medium,2026-04-27,Yes
6,2025-H1,3,Medium,2025-08-17,No
6,2025-H2,4,Medium,2025-06-16,No
7,2024-H1,2,Medium,2024-07-06,Yes
7,2024-H2,5,Medium,2025-01-13,No
7,2025-H1,4,Medium,2024-06-25,Yes
7,2025-H2,3,High,2025-12-23,No
8,2024-H1,3,Medium,2026-02-16,No
8,2024-H2,4,Low,2026-04-24,Yes
8,2025-H1,4,Medium,2024-07-09,Yes
8,2025-H2,4,Low,2026-02-15,No
9,2024-H1,3,High,2025-04-23,No
9,2024-H2,3,Medium,2026-03-29,No
9,2025-H1,4,Medium,2024-07-06,Yes
9,2025-H2,4,Medium,2024-06-07,No
10,2024-H1,3,High,2025-04-29,No
10,2024-H2,3,Medium,2025-04-21,No
10,2025-H1,5,Medium,2025-08-01,No
10,2025-H2,3,Medium,2025-03-26,No
11,2024-H1,2,Medium,2025-11-13,Yes
11,2024-H2,3,Medium,2025-04-23,No
11,2025-H1,4,Low,2026-03-29,No
11,2025-H2,3,Medium,2024-10-17,No
12,2024-H1,2,Low,2024-06-07,No
12,2024-H2,4,High,2025-03-30,No
12,2025-H1,3,Low,2024-07-18,No
12,2025-H2,4,High,2025-09-02,No
13,2024-H1,4,Low,2025-08-14,No
13,2024-H2,3,High,2024-10-22,No
13,2025-H1,3,Medium,2025-10-06,No
13,2025-H2,3,Medium,2025-09-12,No
14,2024-H1,2,Medium,2026-05-15,Yes
14,2024-H2,3,Low,2024-09-19,No
14,2025-H1,3,Medium,2024-12-30,No
14,2025-H2,5,Medium,2025-12-10,No
15,2024-H1,2,Low,2024-09-10,Yes
15,2024-H2,3,Medium,2025-03-26,No
15,2025-H1,4,Medium,2024-08-11,No
15,2025-H2,4,Medium,2025-02-19,No
16,2024-H1,2,Medium,2025-05-17,Yes
16,2024-H2,3,Low,2026-03-26,No
16,2025-H1,3,Low,2026-04-01,No
16,2025-H2,4,Medium,2025-12-03,No
17,2024-H1,5,Medium,2024-10-06,No
17,2024-H2,3,Low,2025-08-27,No
17,2025-H1,3,Medium,2024-06-17,No
17,2025-H2,3,High,2025-09-26,Yes
18,2024-H1,3,Medium,2024-06-24,Yes
18,2024-H2,2,High,2026-03-08,No
18,2025-H1,3,Medium,2026-05-27,Yes
18,2025-H2,3,Medium,2025-09-24,No
19,2024-H1,3,High,2024-12-28,No
19,2024-H2,2,Low,2025-01-04,No
19,2025-H1,4,Medium,2025-10-02,No
19,2025-H2,3,Medium,2026-05-09,No
20,2024-H1,4,Medium,2025-12-19,No
20,2024-H2,2,High,2025-09-21,No
20,2025-H1,5,High,2025-02-04,No
20,2025-H2,4,Medium,2024-11-25,No
21,2024-H1,2,Medium,2025-06-15,No
21,2024-H2,3,High,2026-05-13,No
21,2025-H1,4,Medium,2025-04-04,No
21,2025-H2,3,Medium,2025-07-31,No
22,2024-H1,3,Medium,2026-05-26,Yes
22,2024-H2,4,Low,2026-03-30,No
22,2025-H1,2,High,2026-03-17,No
22,2025-H2,3,Medium,2025-01-20,No
23,2024-H1,3,Low,2024-06-13,No
23,2024-H2,3,Medium,2025-09-27,No
23,2025-H1,4,Low,2025-02-28,Yes
23,2025-H2,4,Medium,2026-03-30,Yes
24,2024-H1,1,Medium,2026-03-01,No
24,2024-H2,4,Medium,2024-07-26,No
24,2025-H1,4,Medium,2025-10-17,No
24,2025-H2,3,Low,2025-06-08,No
25,2024-H1,4,Medium,2025-06-13,Yes
25,2024-H2,3,High,2024-11-07,No
25,2025-H1,4,Medium,2024-09-04,No
25,2025-H2,2,Medium,2025-01-14,No
26,2024-H1,4,High,2025-04-02,Yes
26,2024-H2,3,Medium,2024-11-30,No
26,2025-H1,5,Medium,2025-07-25,No
26,2025-H2,2,Medium,2025-03-20,No
27,2024-H1,3,Medium,2025-07-05,No
27,2024-H2,3,Medium,2025-06-23,No
27,2025-H1,4,Medium,2025-04-16,Yes
27,2025-H2,3,Medium,2026-05-20,No
28,2024-H1,3,Low,2025-08-31,No
28,2024-H2,4,High,2025-10-13,Yes
28,2025-H1,3,Low,2024-07-19,No
28,2025-H2,3,Medium,2025-12-03,No
29,2024-H1,3,Medium,2024-07-17,Yes
29,2024-H2,1,Low,2024-10-11,No
29,2025-H1,5,Medium,2026-03-19,No
29,2025-H2,4,Medium,2025-10-22,No
30,2024-H1,3,Medium,2025-08-14,No
30,2024-H2,4,Low,2024-12-23,No
30,2025-H1,4,Low,2024-08-15,No
30,2025-H2,3,Medium,2026-01-19,No
31,2024-H1,3,Medium,2024-09-14,No
31,2024-H2,4,Medium,2024-08-06,No
31,2025-H1,3,Medium,2024-06-21,No
31,2025-H2,3,Low,2024-08-29,Yes
32,2024-H1,3,High,2025-02-15,No
32,2024-H2,3,Medium,2025-01-22,Yes
32,2025-H1,4,Medium,2025-12-05,Yes
32,2025-H2,3,Low,2025-01-12,No
33,2024-H1,3,Medium,2025-09-12,No
33,2024-H2,3,Medium,2026-02-10,Yes
33,2025-H1,3,Medium,2024-08-27,No
33,2025-H2,3,Low,2025-02-28,No
34,2024-H1,4,Medium,2025-08-24,No
34,2024-H2,1,Medium,2025-06-15,No
34,2025-H1,3,Medium,2026-04-11,No
34,2025-H2,4,High,2025-02-26,No
35,2024-H1,3,Medium,2025-12-11,No
35,2024-H2,3,Medium,2024-10-31,No
35,2025-H1,4,Medium,2024-06-27,No
35,2025-H2,4,Medium,2025-04-07,Yes
36,2024-H1,4,Medium,2025-09-05,No
36,2024-H2,3,Medium,2025-12-17,Yes
36,2025-H1,4,Medium,2024-10-24,No
36,2025-H2,4,Medium,2024-07-31,No
37,2024-H1,1,Medium,2025-01-16,No
37,2024-H2,3,Medium,2025-02-16,No
37,2025-H1,2,Medium,2025-04-14,No
37,2025-H2,4,Medium,2026-02-14,No
38,2024-H1,2,Low,2025-03-04,No
38,2024-H2,5,Medium,2026-04-11,No
38,2025-H1,3,Medium,2025-05-26,No
38,2025-H2,3,Low,2024-09-04,No
39,2024-H1,3,Low,2024-09-10,No
39,2024-H2,3,Medium,2025-08-02,No
39,2025-H1,3,Low,2024-06-05,No
39,2025-H2,4,High,2024-07-24,No
40,2024-H1,3,Medium,2025-10-17,No
40,2024-H2,4,Medium,2024-08-04,No
40,2025-H1,3,Medium,2025-03-06,No
40,2025-H2,3,Medium,2025-02-01,No
41,2024-H1,4,Low,2025-04-20,No
41,2024-H2,4,Low,2025-04-09,No
41,2025-H1,4,Medium,2025-03-19,No
41,2025-H2,3,Medium,2024-12-29,No
42,2024-H1,2,Low,2025-04-17,No
42,2024-H2,4,High,2024-07-28,No
42,2025-H1,4,Medium,2026-03-14,No
42,2025-H2,3,Medium,2024-08-02,No
43,2024-H1,3,Medium,2026-03-25,Yes
43,2024-H2,4,Medium,2026-01-31,No
43,2025-H1,2,Medium,2026-05-19,No
43,2025-H2,3,Medium,2025-07-09,No
44,2024-H1,3,Low,2025-06-28,Yes
44,2024-H2,3,High,2024-08-21,No
44,2025-H1,5,Medium,2025-10-08,No
44,2025-H2,5,Medium,2025-06-07,No
45,2024-H1,3,Medium,2025-10-25,No
45,2024-H2,2,Medium,2024-08-30,No
45,2025-H1,5,High,2026-01-16,No
45,2025-H2,3,High,2026-01-01,No
46,2024-H1,3,Medium,2025-07-25,Yes
46,2024-H2,5,Medium,2024-08-08,Yes
46,2025-H1,2,Low,2026-01-12,No
46,2025-H2,3,Medium,2024-10-31,No
47,2024-H1,4,Medium,2025-03-14,No
47,2024-H2,5,High,2026-05-10,No
47,2025-H1,4,Medium,2025-04-01,Yes
47,2025-H2,2,Low,2025-02-26,No
48,2024-H1,3,Medium,2026-02-11,No
48,2024-H2,3,Medium,2025-04-18,No
48,2025-H1,3,Medium,2025-05-06,No
48,2025-H2,4,High,2025-07-22,No
49,2024-H1,2,High,2025-05-29,No
49,2024-H2,3,High,2025-07-31,Yes
49,2025-H1,1,Medium,2025-01-05,No
49,2025-H2,3,Low,2024-10-29,No
50,2024-H1,2,Low,2025-06-09,Yes
50,2024-H2,3,High,2025-03-08,No
50,2025-H1,3,Medium,2025-09-26,No
50,2025-H2,3,Medium,2026-05-11,Yes
51,2024-H1,4,Medium,2026-05-23,No
51,2024-H2,4,Medium,2025-05-13,No
51,2025-H1,3,Medium,2025-06-05,No
51,2025-H2,3,Medium,2026-05-24,No
52,2024-H1,4,Medium,2024-11-20,No
52,2024-H2,2,Medium,2026-05-23,No
52,2025-H1,4,Low,2025-01-26,No
52,2025-H2,5,Medium,2025-11-04,No
53,2024-H1,3,Medium,2026-05-11,No
53,2024-H2,4,Medium,2025-10-17,No
53,2025-H1,3,Medium,2026-05-19,No
53,2025-H2,4,Low,2026-05-02,Yes
54,2024-H1,3,High,2025-02-22,No
54,2024-H2,3,Medium,2024-06-09,No
54,2025-H1,3,Medium,2025-11-04,No
54,2025-H2,2,Medium,2025-02-15,No
55,2024-H1,3,Low,2026-01-03,No
55,2024-H2,3,Medium,2024-09-26,No
55,2025-H1,3,Low,2024-07-27,No
55,2025-H2,2,High,2026-02-16,Yes
56,2024-H1,3,Medium,2024-10-27,No
56,2024-H2,3,Medium,2025-09-25,No
56,2025-H1,5,Low,2025-09-11,No
56,2025-H2,4,High,2025-10-04,Yes
57,2024-H1,3,Medium,2026-04-11,No
57,2024-H2,4,Medium,2026-04-26,Yes
57,2025-H1,3,Medium,2026-05-23,No
57,2025-H2,4,Medium,2026-02-17,No
58,2024-H1,3,Medium,2026-01-22,No
58,2024-H2,3,Medium,2024-07-29,Yes
58,2025-H1,3,High,2025-01-24,No
58,2025-H2,5,Medium,2025-03-30,No
59,2024-H1,4,Medium,2026-05-01,No
59,2024-H2,3,Medium,2026-01-22,No
59,2025-H1,3,Medium,2024-12-15,No
59,2025-H2,3,High,2024-09-11,No
60,2024-H1,5,High,2024-08-15,No
60,2024-H2,3,Low,2024-06-12,No
60,2025-H1,3,Medium,2026-01-03,No
60,2025-H2,3,High,2025-06-04,Yes
61,2024-H1,4,Medium,2025-11-25,No
61,2024-H2,2,Medium,2024-06-03,No
61,2025-H1,3,Medium,2026-05-13,No
61,2025-H2,3,Medium,2024-08-02,No
62,2024-H1,3,Medium,2025-01-26,Yes
62,2024-H2,3,High,2026-02-15,No
62,2025-H1,2,Low,2025-02-23,Yes
62,2025-H2,2,Low,2025-07-11,No
63,2024-H1,2,Medium,2024-07-02,No
63,2024-H2,2,High,2025-02-09,Yes
63,2025-H1,4,High,2024-11-18,No
63,2025-H2,3,Medium,2024-12-14,No
64,2024-H1,3,Medium,2025-12-25,No
64,2024-H2,5,Medium,2025-06-12,No
64,2025-H1,3,Medium,2024-09-27,No
64,2025-H2,5,Low,2024-10-17,No
65,2024-H1,3,High,2026-03-18,No
65,2024-H2,4,High,2025-09-28,No
65,2025-H1,2,High,2025-07-30,No
65,2025-H2,3,Medium,2025-02-25,No
66,2024-H1,3,Medium,2025-06-29,No
66,2024-H2,4,Medium,2026-02-22,Yes
66,2025-H1,1,Low,2025-03-18,No
66,2025-H2,3,Medium,2025-03-25,No
67,2024-H1,5,Medium,2025-07-27,Yes
67,2024-H2,4,Low,2024-07-21,No
67,2025-H1,3,Medium,2025-10-01,No
67,2025-H2,3,Medium,2025-11-22,Yes
68,2024-H1,3,Medium,2026-05-24,Yes
68,2024-H2,5,Low,2025-02-12,No
68,2025-H1,3,Low,2025-08-31,No
68,2025-H2,3,High,2025-03-08,No
69,2024-H1,4,High,2024-08-22,No
69,2024-H2,5,High,2025-01-29,No
69,2025-H1,3,Medium,2025-07-26,No
69,2025-H2,5,High,2025-04-20,No
